Date;Day;Session;Video #;Videolink;Videolength;Timestamp;Timelink;Player Level;Stronghold Level;Tag;Action;Info;Shortage1;Shortage2;Shortage3;Ended1;Ended2;Limits;New expirience;Offer Time;Team Power;Name;Level;Rarity;Stage2;Provimce;Stage;Result;Gems;Gems+;Gems-;Gems Balance
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:06:10;0:06:10;1;1;Campaign;Finish Battle;;;;;;;;;;;;;;1-1;1;1;Victory;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:06:13;0:06:13;1;1;Campaign;Dialog Start;;;;;;;;;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:06:17;0:06:17;1;1;Base;Start;;;;;;;;;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:06:17;0:06:17;1;1;Tutorial;Stronghold;;;;;;;;1;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:06:19;0:06:19;1;1;Building;Start;;;;;;;;1;;;Stronghold;1;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:06:22;0:06:22;1;1;Building;Speed Up;;;;;;;;;;;Stronghold;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:06:22;0:06:22;1;2;Building;Finish;;;;;;;;;;;Stronghold;2;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:06:24;0:06:24;1;2;Base;Start;;;;;;;;;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:06:31;0:06:31;1;2;Campaign;Map;;;;;;;;;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:06:33;0:06:33;1;2;Campaign;Dialog Start;;;;;;;;;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:06:36;0:06:36;1;2;Campaign;Start Battle;;;;;;;;1;;;;;;1-2;1;2;;;0;0;100
